00ywwvulzwa,0
01rjjbm5mtn,0
04s5k4sungk,2
05uipha1itb,0
0cebfyh553l,2
0d0rfpzewzc,2
0d11h44yzbq,2
0ec1nsncnvc,0
0gownuh0352,2
0i2qzsozvsp,2
0i5z3orzymc,2
0kdk4yrhoc2,2
0tmi5nu21o0,2
0ujcc5vsbnh,0
0wkm23stttf,2
0wmrtwefmwj,0
0wttzps5s0f,2
0xcctu02iyx,2
0y3nfdwqfyn,2
1asgpbqmokr,2
1bpexgask0y,2
1cakdsum30k,2
1fwa0bfo3vs,0
1mqlurofzcu,0
1nc0wjirijz,0
1pggijevvem,2
1smbn4j3qry,0
1wifa3dsmpd,0
1ykdp4lp5ud,2
1yyn1gkhmvf,0
22beogjli3c,2
23fjuiialm2,2
23hw2wbqume,0
25cunnkzu0g,0
25ddeltl15h,0
2czq3regbma,0
2f2jkjym0ce,2
2flc0crdrum,0
2gk23agp2hp,0
2go4iosopnf,2
2if4oirbedu,2
2ijrmsw43m1,0
2is3tgjih2c,2
2k4zn5af4zh,2
2koff01p4cl,2
2lx5k3do3uv,0
2msjr3tf3oz,0
2qw2zhf4bmj,0
2s1szwbp0bu,2
2s1vmdoz35f,2
2sgpwo1rstm,0
2tyjwoa3ymc,2
2vr21zvz5zj,2
2wqojcbhwjc,2
2y4j5w5yvgn,0
2zrgzwzzfid,0
303i0jxtcgj,0
30kwtoyy3kh,0
30wakqpg0ik,0
32pesuxa1zk,0
32un2sjlose,0
32zc425w5ma,2
33dv3fbkx3n,0
34m2vw2vojo,2
3503wszdsxx,0
3bexxlcgbar,2
3e03hjze2hz,2
3emmoabevvf,0
3fet3eip1g3,0
3finev01axw,2
3fzcyv2xrce,2
3gcwygy0acq,2
3jrzmlivylq,2
3kibjx45510,2
3luadlz1imj,2
3o1l1zpjdqc,2
3piuebekss2,0
3q51xcd3ebx,0
3umzculuhu1,2
3vesmmxebuz,2
3vkq0ud3ox5,0
3vtrkvghzkd,2
3xuval2d5xf,0
412ajgqb1wp,2
44hhsusdcoj,0
44resubvuct,0
4aplyhc11dr,0
4b41wqocpcy,0
4e0oyawv1bg,2
4isjwyvevb5,2
4j22ovmijhg,2
4jdw2v3b2fy,0
4jwuywy4xrc,0
4khy25oflfi,0
4kv3rtor552,0
4lxtr2arkm3,2
4mksu3ihvgm,2
4nptseh022v,2
4po5vfu4nh2,0
4ryxvjo2pth,0
4tyart0o2gd,0
4v2huzqfljy,2
4wdthqiuro5,2
4yphyvq5d40,0
4yqe3vu5sjf,0
4zg0fyam2fs,0
4ztlvj0qyqi,0
4zuwvrhawhs,2
513lskr23aa,0
51zh0ncsb15,0
52rhtbmuxba,2
53eao4m11mv,2
53ldlwgyjqz,2
555mdf13wpr,2
5c41esw0ct0,0
5ddxyj5kn2j,0
5gsmw5f4l43,0
5hh2vophf2v,2
5jqkpeea41j,0
5jrd5fgrtps,2
5jtctenqku1,2
5kghm0bjkdl,0
5kk5jsonk4b,2
5mmfk5lgw0r,0
5ns34yssa5w,0
5nv13uuzqdp,2
5tktnekdmgc,0
5uv3cnuw0bd,0
5vfbugmcczp,0
5x5wdrbnsqj,2
5zarapevbnq,0
5zmpnwmxylf,0
a03lz2ak5kn,0
a2unduacq2x,0
aa21cc1o42s,0
ab1pezadwd2,2
ab1wqcnyugf,2
abfb4ajawqn,0
acampkldu3u,0
acbqi5dkgub,2
adrkuxynpaa,0
ae2ge2dqfpq,0
afpvq4et2ic,0
afzxv5fzkez,0
aganusmzddr,0
agrrkpy5n44,2
al2hwk2en3m,0
am5wsjmaq5z,2
apd5pvhdrxu,0
aqey2ox5fca,0
arcisnkaidz,2
atjixq225nr,2
